Text,Class,PureText,ConEmoji,Emojis,Con_emoji_meanings
   ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ රටේ ඇතිවූ… ,Neutral,   ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ මේ රටේ ඇතිවූ… ,,,
 ඉස්ලාමය ත්‍රස්තවාදීයි  එහි තේරුම එයයි ,Racist, ඉස්ලාමය ත්‍රස්තවාදීයි  එහි තේරුම එයයි ,,,
   පළ පළ තම්බි හුනා තමන්ගේ වැඩක් බලාගෙන හිටු අපි අපේ රට බලා ගන්නම්  අවජාතකයා ,Racist,   පළ පළ තම්බි හුනා තමන්ගේ වැඩක් බලාගෙන හිටු අපි අපේ රට ගැන බලා ගන්නම්  අවජාතකයා ,,,
   අඩෝ තම්බි පරයා  කට වහගෙන හිටු අල්ලාහ්ගේ හොර ගැනිට අයේශට පෝලින් දානවා පරයා අර වයසක කඩීජා ත් හොදයි හැබැයි ,Racist,   අඩෝ තම්බි පරයා  කට වහගෙන හිටු අල්ලාහ්ගේ හොර ගැනිට අයේශට පෝලින් දානවා පරයා ආ අර වයසක කඩීජා ත් හොදයි හැබැයි ,,,
 කාද යකෝ ඕසදීව ඩීප්ෆ්‍රීසර් එකෙ හිර කරල තිබ්බ පරය  ️,Sexism, කාද යකෝ ඕසදීව ඩීප්ෆ්‍රීසර් එකෙ හිර කරල තිබ්බ පරය  ️,,,
 එක පැත්තකින් බැලුවාම උඩතලවින්නේ තම්බි දණ ගැස්සු චරිතයක් තමා ලොහාන් කියන්නේ      ,Racist, එක පැත්තකින් බැලුවාම උඩතලවින්නේ තම්බි දණ ගැස්සු චරිතයක් තමා ලොහාන් කියන්නේ      ,,,
   සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය තම්බි පාර්ලිමේන්තුවේ ඇත මේ… ,Racist,   සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත මේ… ,,,
   ලෝකයටම පිළිලයක් වු මරක්කල කරණය වහබ්වාදය වෙන් තුරන් කළ යුතු කාලය පැමිණ ඇත සැවොම එකයි කියමින් වෙනම ක්… ,Racist,   ලෝකයටම පිළිලයක් වු මරක්කල කරණය වහබ්වාදය වෙන් තුරන් කළ යුතු කාලය පැමිණ ඇත සැවොම එකයි කියමින් වෙනම ක්… ,,,
  පලයන් පරය ,Neutral,  පලයන් පරය ,,,
 රැවුල කොණ්ඩෙ කපන්න ගිහින් පොඩ්ඩක් කොටකරන්න කිව්වම පරය කොටටම කපලා  😭  බාබරයට හෙණගහන්නෙපැයි කරපු අපරාදෙට 😢,Neutral, රැවුල කොණ්ඩෙ කපන්න ගිහින් පොඩ්ඩක් කොටකරන්න කිව්වම ඒ පරය කොටටම කපලා    බාබරයට හෙණගහන්නෙපැයි කරපු අපරාදෙට ,😭 😢,😭 😢,loudly crying face crying face
   මුරලිදරන් ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං… ,sports,   මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං… ,,,
 දවස්වල කරු ජයසූරියට සද්දෙට පඩයක් ගියත් ගියත් ඉස්සර වෙලාම දුවන්නෙ තම්බියො ටිකඒක ඉඹල හරිම හොඳයි හොඳ සුවඳයි කියල කෑ ගහනව  ,Racist, මේ දවස්වල කරු ජයසූරියට සද්දෙට පඩයක් ගියත් ගියත් ඉස්සර වෙලාම දුවන්නෙ තම්බියො ටිකඒක ඉඹල හරිම හොඳයි හොඳ සුවඳයි කියල කෑ ගහනව  ,,,
  හම්බයා ,Racist,  හම්බයා ,,,
   ගහප් පරය  😂,Neutral,   ගහප් පරය  ,😂,😂,face tears joy
  මෙහෙ සමහරුන්ට උනාට සව්දියේ හලාල්  ☺,Racist,  මෙහෙ සමහරුන්ට උනාට සව්දියේ හලාල්  ,☺,☺,smiling face
   පෙනි පෙනී සිදුවන විකිණිම මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ… ,Political,   පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ… ,,,
   මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙ… ,Neutral,   මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙ… ,,,
    හිස්බුල්ලා ආවා හලාල් බුර්කා මුස්ලිම් ආක්‍රමන විසදුනා  එස් වියාලේන්ද්‍රන් ආවා ලංකාවේ කොටි ප්‍රශ්නයත් විසදුනා … ,Racist,    හිස්බුල්ලා ආවා හලාල් බුර්කා මුස්ලිම් ආක්‍රමන විසදුනා  එස් වියාලේන්ද්‍රන් ආවා ලංකාවේ කොටි ප්‍රශ්නයත් විසදුනා … ,,,
  උඹලැ බලුමූනු අමිත්ගේ බණ අහල තව්හිද් ජමා තම්බි අන්තවාදීන් සෙට් එක සෝවාන් වෙල උඹල උන්ව හරිමගට ගත්ත නේ අනෙ හුකේ එකේක විකාර අවුස්සල වීඩියෝ දාල රට ඉන්න කොල්ලන්ගෙන් සල්ල්ලි හිඟාකනෝ ඒව ගසාකනෝ තොපිද් දැනුවත්ව හෝ මෝඩ කමට ඕ ගස්නරින්ට කඩේ යනව ,Religion,  උඹලැ බලුමූනු අමිත්ගේ බණ අහල අන්න තව්හිද් ජමා සහ තම්බි අන්තවාදීන් සෙට් එක සෝවාන් වෙල උඹල උන්ව හරිමගට ගත්ත නේ අනෙ හුකේ එකේක විකාර අවුස්සල වීඩියෝ දාල රට ඉන්න කොල්ලන්ගෙන් සල්ල්ලි හිඟාකනෝ ඒව ගසාකනෝ තොපිද් දැනුවත්ව හෝ මෝඩ කමට ඕ ගස්නරින්ට කඩේ යනව ,,,
  මිනිස්සු කුලප්පු කරන් ගිහින් තන්බිගෙ කඩ ගිනිතිව්වා පස්සෙ තම්බි එක කඩේට තුන්හතරපාර වන්දි ගත්තා ආන්ඩුවෙන් එකපාරයි පල්ලියෙන් තවපාරයි පොටෝ යවල රට රටවලින් ආදාර තොපි හිතාන ඉන්නව අමිත් අයියා තම්බියට ඇරිය තම්බියට කෙලිය කියල උන්ට තිබ්බටත් හොඳයි ,Religion,  මිනිස්සු කුලප්පු කරන් ගිහින් තන්බිගෙ කඩ ගිනිතිව්වා පස්සෙ තම්බි ඒ එක කඩේට තුන්හතරපාර වන්දි ගත්තා ආන්ඩුවෙන් එකපාරයි පල්ලියෙන් තවපාරයි පොටෝ යවල රට රටවලින් තව ආදාර දැන් තොපි හිතාන ඉන්නව අමිත් අයියා තම්බියට ඇරිය තම්බියට කෙලිය කියල උන්ට තිබ්බටත් වඩා හොඳයි ,,,
  දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව  දේශද්‍රෙහි පක්ෂයකටවත් බුද්ධ පූජාව හලාල් කල ඒකාබද්ධ විපක්ෂයටවත් එකතු වෙන්නේ නැ නරඹන්න     ,Racist,  දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව  ය දේශද්‍රෙහි පක්ෂයකටවත් බුද්ධ පූජාව පවා හලාල් කල ඒකාබද්ධ විපක්ෂයටවත් එකතු වෙන්නේ නැ නරඹන්න     ,,,
 මා හෝ ඒකාබද්ධ විපක්ෂය හෝ පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ ඒකාබද්ධ විපක්ෂය විල්පත්තුව විනාශ කල පාදය අරාබියට විකුණු හලාල් ගෙන බැංකු ෂරියා කල පක්ෂයකට කොහොමත් එක් වන්නේ නැ  මාධ්‍ය සාගච්ඡාව අමිත් වීරසිංහ     ,Racist, මා හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ ඒකාබද්ධ විපක්ෂය වැනි විල්පත්තුව විනාශ කල ශ්‍රී පාදය අරාබියට විකුණු හලාල් ගෙන ආ බැංකු පවා ෂරියා කල පක්ෂයකට කොහොමත් එක් වන්නේ නැ  මාධ්‍ය සාගච්ඡාව අමිත් වීරසිංහ     ,,,
 නසිය කිව්වත්  👊  නානා කිව්වත්  👍  තම්බි කිව්වත්  💪  කිව්වේ ආදරයට  😍  අපේ ආදරණිය සටන් සගය  👏  බෙදුනු රටක් එක්කරන්න දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක්  🙏  නම  😀  නසිය කියනවා  😍  මුස්ලිම් සහෝදරයෙක්     ,Religion, නසිය කිව්වත්    නානා කිව්වත්    තම්බි කිව්වත්    කිව්වේ ආදරයට    අපේ ආදරණිය සටන් සගය    බෙදුනු රටක් එක්කරන්න දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක්    නම නිසා    නසිය කියනවා    මුස්ලිම් සහෝදරයෙක්     ,😍 😀 😍,👊 👍 💪 😍 👏 🙏 😀 😍,smiling face hearteyes grinning face smiling face hearteyes
 ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ රටේ ඇතිවූ මුස්ලිම්  සිංහල ජාතිවාද කෝලහාල පිටුපස සිටියේ කවුද  හලාල් ගෙනත් ජාතියක් වැනසීමට ජාතිවාදය අවිස්සුවේ කවුද  අද කොහොමද මෙහෙම අගසවු තබාගෙන ඉන්නේ     ,Racist, ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ මේ රටේ ඇතිවූ මුස්ලිම්  සිංහල ජාතිවාද කෝලහාල පිටුපස සිටියේ කවුද  හලාල් ගෙනත් ජාතියක් වැනසීමට ජාතිවාදය අවිස්සුවේ කවුද  අද කොහොමද මෙහෙම අගසවු තබාගෙන ඉන්නේ     ,,,
   තම්බියඋඹට ආගමක් ඇදල ගන්නම ඕන නේද වල් ඌර  හිටපං උබෙ ගේම එකට යවනකන් ,Racist,   තම්බියඋඹට ආගමක් ඇදල ගන්නම ඕන නේද වල් ඌර  හිටපං උබෙ ගේම එකට යවනකන් ,,,
 නිකමට අහන්නෙ  එදා පාර්ලිමේන්තුවේ විශ්වාසභංගයට පක්ෂව ඡන්ද ලැබුණම සමාජ මාධ්‍යවල වගේම සමාජයෙත් පැතිරුණා මතයක් දෙමලු තම්බි එකෙක්වත් මහින්ද මහත්තයා එක්ක නැහැ සිංහලුනේ අවදිවව් කියලා අපි තේරුම්     ,Racist, නිකමට අහන්නෙ  එදා පාර්ලිමේන්තුවේ විශ්වාසභංගයට පක්ෂව ඡන්ද ක් ලැබුණම සමාජ මාධ්‍යවල වගේම සමාජයෙත් පැතිරුණා මතයක් ඒ දෙමලු සහ තම්බි එකෙක්වත් මහින්ද මහත්තයා එක්ක නැහැ සිංහලුනේ අවදිවව් කියලා දැන් අපි තේරුම්     ,,,
   තම්බි හැත්ත මැරිලා නැද්ද  අල්ලාහ් ලංකාවට ඇවිත් ලු පාර්ලිමේන්තුවේ අල්ලාගේ පුත්තු දිනනවාද බලන්න හින්දා වැස්ස වලායක දෙයියෝ කුවෙට් එකෙන් පොඩි ආතල් එකක් අරන් පවු අප්පා ,Racist,   තම්බි හැත්ත මැරිලා නැද්ද  අල්ලාහ් ලංකාවට ඇවිත් ලු පාර්ලිමේන්තුවේ අල්ලාගේ පුත්තු දිනනවාද බලන්න ඒ හින්දා වැස්ස වලායක දෙයියෝ කුවෙට් එකෙන් පොඩි ආතල් එකක් අරන් පවු අප්පා ,,,
  තම්බි නානා උබගේ අදහස් මට වැදගත් නැ අනික උබට බැ මාගේ අදහස් කීම නවත්වන්න ගෙරිකම පිහිදාගෙන උබලාගේ දේ තියෙන අරාබියට පලයල්ලා එහෙටත් උබලාව ගන්නේ නැනේ සිංහල සංස්කෘතියට ගරුකරමින් ජීවත්වෙයන් නිකන් පොර ටොක්ස් නැතුව ඉවසීමෙන් ටික ලීවේ ,Racist,  තම්බි නානා උබගේ අදහස් මට වැදගත් නැ අනික උබට බැ මාගේ අදහස් කීම නවත්වන්න ගෙරිකම පිහිදාගෙන උබලාගේ දේ තියෙන අරාබියට පලයල්ලා එහෙටත් උබලාව ගන්නේ නැනේ ඒ නිසා සිංහල සංස්කෘතියට ගරුකරමින් ජීවත්වෙයන් නිකන් පොර ටොක්ස් නැතුව ඉතා ඉවසීමෙන් මේ ටික ලීවේ ,,,
 අර හලාල් විතරයි කන්න ඕන කියල නීති ගෙනාවේ උන්දැලා නේද   ලංකාවේ ඇතිවුන ප්‍රධාන ගැටලුවට හේතුවුන අන්තවාදී සංවිධාන එක්ක සාකච්ඡා කලාට වැඩක් කොහොමත් අය ඔය මහත්වරුන්ට ඡන්දය දෙන්නෙ නෑමයි     ,Racist, අර හලාල් විතරයි කන්න ඕන කියල නීති ගෙනාවේ මේ උන්දැලා නේද   ලංකාවේ ඇතිවුන ප්‍රධාන ගැටලුවට හේතුවුන මේ අන්තවාදී සංවිධාන එක්ක සාකච්ඡා කලාට වැඩක් නෑ කොහොමත් ඒ අය ඔය මහත්වරුන්ට ඡන්දය දෙන්නෙ නෑ නෑ නෑමයි     ,,,
 මුරලිදරන් ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං ලංකාවේ ඉන්න හඩු පෙරාගත්ත තම්බි වගේද රහීම්ස් ලා එයාගෙන් අහන්න ඕනේ පශ්චාත් සුනාමි සංවර්ධන     ,Racist, මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං ලංකාවේ ඉන්න හඩු පෙරාගත්ත තම්බි වගේද අනේ රහීම්ස් ලා එයාගෙන් අහන්න ඕනේ පශ්චාත් සුනාමි සංවර්ධන     ,,,
 සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය තම්බි පාර්ලිමේන්තුවේ ඇත දෙගොල්ලන්ගෙන් බේරෙන්නට සිංහල පක්ෂයක් හෝ සිංහල දේශපාලකයෙක් අවශ්‍යයයි සොයා දිය හැකි අයෙක් සිටිත්     ,Racist, සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත මේ දෙගොල්ලන්ගෙන් බේරෙන්නට සිංහල පක්ෂයක් හෝ සිංහල දේශපාලකයෙක් අවශ්‍යයයි සොයා දිය හැකි අයෙක් සිටිත් ද     ,,,
  පෙනි පෙනී සිදුවන විකිණිම මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ මෙවන් පිරිසක් උදෙසාද යැයි සිතේ යකාගේ හැටියට විමානය ජනතාවට පාර්ලිමේන්තුවේ පිරිසද තකට තක තම්බි පැත්තේය ඉස්සර උන් අර පැත්තේය     ,Racist,  පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ මෙවන් පිරිසක් උදෙසාද යැයි සිතේ යකාගේ හැටියට විමානය සේ ජනතාවට අනුව පාර්ලිමේන්තුවේ පිරිසද තකට තක ය තම්බි දැන් මේ පැත්තේය ඉස්සර උන් අර පැත්තේය     ,,,
 මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙන්නුවා අඩෝ අර තම්බි කෑල්ල පට්ටනේ කියල මූ කියාපි හුටෝ මගේ අක්කා කියල  😐  මතක ,Religion, මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙන්නුවා අඩෝ අර තම්බි කෑල්ල පට්ටනේ කියල මූ කියාපි හුටෝ ඒ මගේ අක්කා කියල    මතක ,😐,😐,neutral face
 මත්කද හුත්තො   ලොක විනාසේ ඇවිත් මුලුලොකෙම විනාස උනාඅදට අවුරුදු මිය ගිය සිය්ලුදෙනාටම නිවන් සුව පතන්න ,Neutral, මත්කද හුත්තො   ලොක විනාසේ ඇවිත් මුලුලොකෙම විනාස උනාඅදට අවුරුදු මිය ගිය සිය්ලුදෙනාටම නිවන් සුව පතන්න ,,,
  යකෝ උඹට ඕනි විදිහට සිංහල අකුරු ගලපන්න බෑ අකුරු හරියට ලියන්න බැරිනම් සිංහලෙන් නොදා හිටු  😡,Neutral,  යකෝ උඹට ඕනි විදිහට සිංහල අකුරු ගලපන්න බෑ අකුරු හරියට ලියන්න බැරිනම් සිංහලෙන් නොදා හිටු  ,😡,😡,pouting face
 රට බෙදන සියළු කොන්දේසි වලට අද රනිල් ලිඛිතව එකඟ වී දෙමළ සංධානයේ සහය ලබා ගනී ,Political, රට බෙදන සියළු කොන්දේසි වලට අද රනිල් ලිඛිතව එකඟ වී දෙමළ සංධානයේ සහය ලබා ගනී ,,,
   අනිවාර්යයෙන් හම්බ කරලා කාලා බීලා ආතල් එකේ ඉන්න ඕනසැපේ ,Neutral,   අනිවාර්යයෙන් හම්බ කරලා කාලා බීලා ආතල් එකේ ඉන්න ඕනසැපේ ,,,
  සල්ලි බොලඩොලර් හම්බ කලොත්  ආදායම් බදුලේසි නැ ,Neutral,  සල්ලි නෑ බොලඩොලර් ක් හම්බ කලොත් ක්  ක් ආදායම් බදුලේසි නැ ,,,
 අම්ම ගාව තියනව බං එයාගෙං ඉල්ලගනිං මීට තාත්ති 😁,Neutral, අම්ම ගාව තියනව බං එයාගෙං ඉල්ලගනිං මීට තාත්ති ,😁,😁,beaming face smiling eyes
  සිංහල බෞද්ධ සේවකයන්ට සුළු ජාතික නිළදාරින්ගෙන් කරදර ප     ,Racist,  සිංහල බෞද්ධ සේවකයන්ට සුළු ජාතික නිළදාරින්ගෙන් කරදර ප     ,,,
   මඩ කරි රංජා මාව බොලොක් මේක ඌට ටැග් කරපල්ලා කවුරැහරි හිටපු ආරක්ශක ලේකම් ටයි බේරැවල හිටපු නගරාධිපතිටයි බුකියෙ… ,Neutral,   මඩ කරි රංජා මාව බොලොක් මෙන්න මේක ඌට ටැග් කරපල්ලා කවුරැහරි හිටපු ආරක්ශක ලේකම් ටයි බේරැවල හිටපු නගරාධිපතිටයි බුකියෙ… ,,,
  මෙහ් හුත්තො  🙄,Neutral,  මෙහ් හුත්තො  ,,🙄,
    හර්ශ මචං එතකොට ඔය එක දුන්නේ එකටද නැත්තන් රටක් හැ… ,Political,    හර්ශ මචං එතකොට ඔය එක දුන්නේ එකටද නැත්තන් රටක් හැ… ,,,
   වයස කියල දෙන්න උබ හෙන වයස එකාද අනෙ පලයං බං යන්ඩ ,Neutral,   වයස ගැන කියල දෙන්න උබ හෙන වයස එකාද අනෙ මේ පලයං බං යන්ඩ ,,,
 හදිසියක් උනාම එක කෝල් එකෙන් හරි අරන් පලයන් කිවුව අයියා තැන්කූ  ️,Neutral, හදිසියක් උනාම එක කෝල් එකෙන් හරි අරන් පලයන් කිවුව අයියා තැන්කූ  ️,,,
  උනාට සිංහල නෑනෙ ,Neutral,  ඒ උනාට සිංහල නෑනෙ ,,,
😂  මම පබ්ලිසිටි අරන් දෙන්නම්  උඹ ගේම ගහගෙන පලයන් ,Neutral,  මම පබ්ලිසිටි අරන් දෙන්නම්  උඹ ගේම ගහගෙන පලයන් ,😂,😂,face tears joy
   උබ පලයන් යන්න 😂,Neutral,   උබ පලයන් යන්න ,😂,😂,face tears joy
  මොංගල්  😑  පලයන් බන් යන්න ,Neutral,  මොංගල් ද    පලයන් බන් යන්න ,😑,😑,expressionless face
  කොටුවෙන් ගත්තෙ සීයට තුනක් හම්බ උනා  🔫,Neutral,  කොටුවෙන් ගත්තෙ සීයට තුනක් හම්බ උනා  ,,🔫,
   ලබන වසරේදී සිංහල සිනමාව නිකුත් වීමට නියමිත චිත්‍රපට කිහිපයක් එකෙන් ඔබට බලාගත හැකිය   … ,Neutral,   ලබන වසරේදී සිංහල සිනමාව වෙනුවෙන් නිකුත් වීමට නියමිත චිත්‍රපට කිහිපයක් මේ එකෙන් ඔබට බලාගත හැකිය   … ,,,
   දෙමළ සන්ධානය එජාපයට හේත්තු වූ හේතුව ධර්මලිංගම් කියයි     ,Political,   දෙමළ සන්ධානය එජාපයට හේත්තු වූ හේතුව ධර්මලිංගම් කියයි     ,,,
  සිංහල අකුරු පොඩ්ඩක් ලොකුයි වගේ  ඒකයි ඇහුවේ  ,Neutral,  සිංහල අකුරු පොඩ්ඩක් ලොකුයි වගේ  ඒකයි ඇහුවේ  ,,,
   මේක ලෝකෙට කියන්නත් හදුන්වන්න ඕනේ  සිංහල ජාතිකයෙක්  හැටියට අම්මපා මුන් මොන … ,Neutral,   මේක ලෝකෙට කියන්නත් හදුන්වන්න ඕනේ  සිංහල ජාතිකයෙක්  හැටියට අම්මපා මුන් මොන … ,,,
 ජනපති පිස්සු නැටිල්ල සිංහල සේවය ලියූ දිග ලිපිය     ,Political, ජනපති ගේ පිස්සු නැටිල්ල ගැන සිංහල සේවය ලියූ දිග ලිපිය     ,,,
 සිංහ ලග්නය   වසර ඔබට කොහොමද     ,Neutral, සිංහ ලග්නය   නව වසර ඔබට කොහොමද මෙන්න     ,,,
 මොකද්ද මතක් උන සිංහල සින්දුව     ,Neutral, මොකද්ද මතක් උන සිංහල සින්දුව     ,,,
  ඔව් ඔව් ගෙදරක හැදුවොත් තමයි නිවාඩුවට කොස් තියෙන කාලෙට ගෙදර ගියොත් ඔය මෙනු එක මට හම්බ වෙනවමයි ,Neutral,  ඔව් ඔව් ගෙදරක හැදුවොත් තමයි ඉතින් නිවාඩුවට කොස් තියෙන කාලෙට ගෙදර ගියොත් ඉතින් ඔය මෙනු එක මට හම්බ වෙනවමයි ,,,
  සරල සිංහල ව්‍යාකරණ දන්නෙ නැති එකෙක් මේක දාල තියෙන්නෙ රට හදන්න කලින් තමන්ගෙ මව් භාෂාව ඉගෙනගෙන වරෙන් පක්ෂයටත් අපහාසයක් ,Neutral,  සරල සිංහල ව්‍යාකරණ වත් දන්නෙ නැති එකෙක් මේක දාල තියෙන්නෙ රට හදන්න කලින් තමන්ගෙ මව් භාෂාව වත් ඉගෙනගෙන වරෙන් පක්ෂයටත් අපහාසයක් ,,,
